Valor Total dos Rendimentos recebidos
Sigla,Código,Município,1970,1980,1991,2000,
MA,2105609,Joselândia,362.6069859952,706.835159406,544.0103692481,750.2566413835,
MA,2105658,Junco do Maranhão,,,,297.7145191359,
MA,2105708,Lago da Pedra,1351.9212978766,2195.4547213071,1783.4725067072,3894.9074793054,
MA,2105807,Lago do Junco,628.0053608523,973.9392889886,932.716558475,545.850093588,
MA,2105906,Lago Verde,541.8073337312,444.8409610972,399.8178310976,604.9104980339,
MA,2105922,Lagoa do Mato,,,,431.1654243888,
MA,2105948,Lago dos Rodrigues,,,,510.322263587,
MA,2105963,Lagoa Grande do Maranhão,,,,347.8689213049,
MA,2105989,Lajeado Novo,,,,442.0255208687,
MA,2106003,Lima Campos,333.2721689747,798.8131606468,640.3312113649,856.5639068739,
MA,2106102,Loreto,103.9152862165,287.6525966388,262.0887851784,555.9510915341,
MA,2106201,Luís Domingues,155.0789339973,205.5431860145,462.4580370202,423.744152044,
MA,2106300,Magalhães de Almeida,176.6786997637,403.9733394518,311.0607157045,603.6218262702,
MA,2106326,Maracaçumé,,,,1480.1215234881,
MA,2106359,Marajá do Sena,,,,474.4023433912,
MA,2106375,Maranhãozinho,,,,322.7955198321,
MA,2106409,Mata Roma,330.0797568427,280.1009670039,249.1073819126,628.4560963794,
MA,2106508,Matinha,575.8085043009,470.062957819,483.8943044907,1148.6779488791,
MA,2106607,Matões,382.9135493902,510.4070319499,850.9068366152,1562.8787240778,
MA,2106631,Matões do Norte,,,,302.762255508,
MA,2106672,Milagres do Maranhão,,,,291.9324314333,
MA,2106706,Mirador,435.7077146602,468.5033373285,509.5068676838,1333.7599661925,
MA,2106755,Miranda do Norte,,,733.8619725737,1564.9837867902,
MA,2106805,Mirinzal,333.290532835,551.4708102934,715.5942861298,1065.9159843658,
MA,2106904,Monção,1857.5247643232,4627.5766658677,951.0164635456,1729.3806699405,
MA,2107001,Montes Altos,287.9192331944,658.2519214845,789.1525082579,757.9239480204,
MA,2107100,Morros,434.7353965842,685.579488758,714.5192331266,650.8746102803,
MA,2107209,Nina Rodrigues,191.2625043837,396.0212418935,188.5190924469,390.0012211036,
MA,2107258,Nova Colinas,,,,165.6541205303,
MA,2107308,Nova Iorque,106.0841547676,266.4136830958,126.3195854035,352.3954643015,
MA,2107357,Nova Olinda do Maranhão,,,,1094.6896060432,
MA,2107407,Olho d'Água das Cunhãs,645.0827843947,960.5614738594,698.9191657731,1183.8997781465,
MA,2107456,Olinda Nova do Maranhão,,,,544.5926677437,
MA,2107506,Paço do Lumiar,482.3113259775,1161.6726296609,4210.2268996916,10945.7345714331,
MA,2107605,Palmeirândia,254.6439183652,431.2554295557,383.9128971265,904.8762317935,
MA,2107704,Paraibano,231.4039699201,604.6786507187,828.7814766164,1634.6137896962,
MA,2107803,Parnarama,620.0035503646,999.8709535823,956.120747732,1589.0017122166,
MA,2107902,Passagem Franca,490.678480633,1102.1777385523,825.6132612326,900.3417189344,
MA,2108009,Pastos Bons,362.0183759473,543.8592314438,487.08728496,1031.2008393355,
MA,2108058,Paulino Neves,,,,429.7174254601,
MA,2108108,Paulo Ramos,522.5397782205,1201.5880982698,1354.6548727604,1075.8009063016,
MA,2108207,Pedreiras,1202.2471379156,3518.6990873081,3199.3535349603,4355.7870091943,
MA,2108256,Pedro do Rosário,,,,783.6109648757,
MA,2108306,Penalva,985.7091961525,2014.2905241851,1011.4569628209,1788.8197496121,
MA,2108405,Peri Mirim,227.7804903309,651.9324319137,528.4458689569,707.9305904375,
MA,2108454,Peritoró,,,,1064.8023195798,
MA,2108504,Pindaré-Mirim,1082.1735876897,1556.4926470047,1406.5956051657,2307.0289073017,
MA,2108603,Pinheiro,1629.5925305152,3390.4452695974,3314.7800202369,5671.5652995595,
MA,2108702,Pio XII,757.5198683006,1571.8732498016,1030.9176268147,1553.3487322515,
MA,2108801,Pirapemas,491.8595668047,784.0207591139,461.8845396047,768.0804877259,
MA,2108900,Poção de Pedras,860.9431963653,1947.6082688497,881.5990543233,1223.7681975522,
MA,2109007,Porto Franco,447.6413242859,1436.5335962054,1628.6340390873,2470.936913248,
MA,2109056,Porto Rico do Maranhão,,,,408.3822675055,
MA,2109106,Presidente Dutra,1060.2751675641,2539.299177581,2198.9128245601,4591.5560229243,
MA,2109205,Presidente Juscelino,244.3205293304,194.259381723,221.4732540418,403.697896437,
MA,2109239,Presidente Médici,,,,337.2034393117,
MA,2109270,Presidente Sarney,,,,723.0449891775,
MA,2109304,Presidente Vargas,215.1809491402,396.4128832135,190.7757140525,522.8874625879,
MA,2109403,Primeira Cruz,336.8424900209,785.6881806588,603.5770334609,654.8663482583,
MA,2109452,Raposa,,,,1274.9550755258,
MA,2109502,Riachão,393.4727690518,979.9413344738,781.6967020655,1528.7774223147,
MA,2109551,Ribamar Fiquene,,,,626.5267812845,
MA,2109601,Rosário,722.4168661139,1533.5951385201,1767.9051419541,2393.3854766278,
MA,2109700,Sambaíba,73.0079428446,204.8711992261,238.2607552229,345.9888627169,
MA,2109759,Santa Filomena do Maranhão,,,,261.9123157287,
MA,2109809,Santa Helena,446.2833651441,2019.5958056654,1109.1946386882,2613.6385824531,
MA,2109908,Santa Inês,1451.2987775657,6009.7250334076,4258.2991131245,8442.3523148683,
MA,2110005,Santa Luzia,2598.409874766,6070.3025947893,4513.9309445744,4512.3238782048,
MA,2110039,Santa Luzia do Paruá,,,1664.5639230379,1184.1502622807,
MA,2110104,Santa Quitéria do Maranhão,226.2224617639,523.4853250308,784.6040871893,1787.4743401642,
MA,2110203,Santa Rita,438.0012641574,654.4900858561,734.0785103425,1681.644501255,
MA,2110237,Santana do Maranhão,,,,435.6853425582,
MA,2110278,Santo Amaro do Maranhão,,,,313.7707718694,
MA,2110302,Santo Antônio dos Lopes,504.6765747619,1297.4250725811,805.2330446496,1007.8764532933,
MA,2110401,São Benedito do Rio Preto,300.8560895029,384.9515163375,324.5245514909,627.3627929808,
MA,2110500,São Bento,483.5475037301,1114.2174047668,1267.7315359354,2102.5081733651,
MA,2110609,São Bernardo,330.8162442919,758.4895176385,837.777422479,1062.7237582208,
MA,2110658,São Domingos do Azeitão,,,,380.2173646956,
MA,2110708,São Domingos do Maranhão,707.218355434,1754.9391991061,1348.7167551281,2991.5118724474,
MA,2110807,São Félix de Balsas,196.3782892504,136.6972479214,155.4949690299,368.9564463192,
MA,2110856,São Francisco do Brejão,,,,638.6263916701,
MA,2110906,São Francisco do Maranhão,345.5179642253,656.0315154788,494.6213198996,631.4535026518,
MA,2111003,São João Batista,446.3519879904,796.3068533412,574.2896740055,1498.1875730727,
MA,2111029,São João do Carú,,,,694.3207687424,
MA,2111052,São João do Paraíso,,,,868.4362500843,
MA,2111078,São João do Soter,,,,732.9762145928,
MA,2111102,São João dos Patos,461.6577822752,1521.0998941175,1191.6447305993,2274.7439173897,
MA,2111201,São José de Ribamar,693.7354159119,2189.0901578124,4415.4043532545,13742.4985392072,
MA,2111250,São José dos Basílios,,,,452.6339682921,
MA,2111300,São Luís,20434.1371323296,63337.0202419839,97654.0421921483,215331.642605795,
MA,2111409,São Luís Gonzaga do Maranhão,1308.2626698369,1621.0299481115,1230.5610177211,1138.4394755078,
MA,2111508,São Mateus do Maranhão,535.7288959781,1363.05655887,1253.292099967,2734.8167908659,
MA,2111532,São Pedro da Água Branca,,,,979.7505241356,
MA,2111573,São Pedro dos Crentes,,,,202.6574292238,
MA,2111607,São Raimundo das Mangabeiras,210.8412790001,498.2802198291,651.4149227226,1562.9045218711,
MA,2111631,São Raimundo do Doca Bezerra,,,,343.6515551246,
MA,2111672,São Roberto,,,,150.9958810127,
MA,2111706,São Vicente Ferrer,272.8512025743,554.5695305419,554.9547443773,1048.6580169187,
MA,2111722,Satubinha,,,,517.6065920034,
MA,2111748,Senador Alexandre Costa,,,,568.0100814182,
MA,2111763,Senador La Rocque,,,,1028.374771178,
MA,2111789,Serrano do Maranhão,,,,391.494600043,
MA,2111805,Sítio Novo,222.6405424902,385.3577641179,465.5165717436,1135.7746459064,
MA,2111904,Sucupira do Norte,285.8837442601,322.1763099376,268.6923224298,573.3836785546,
MA,2111953,Sucupira do Riachão,,,,288.1835482933,
MA,2112001,Tasso Fragoso,64.8940161573,292.7140488017,136.6962130767,421.011905482,
MA,2112100,Timbiras,550.2334460433,739.9066500226,703.2661431605,1340.8136116474,
MA,2112209,Timon,968.2432319873,4582.3416677588,6218.166689064,13339.5074669229,
MA,2112233,Trizidela do Vale,,,,1333.7360244954,
MA,2112274,Tufilândia,,,,193.4866525994,
MA,2112308,Tuntum,627.527900485,1097.7130006212,1367.2651905693,2243.7679807465,
MA,2112407,Turiaçu,704.7720959408,3741.2236276857,1593.5239533782,1654.8367436013,
MA,2112456,Turilândia,,,,849.98023314,
MA,2112506,Tutóia,625.7263091396,1367.3042609294,1461.3606601665,2236.0631930972,
MA,2112605,Urbano Santos,360.798629017,664.931195954,778.4296368246,857.2177416504,
MA,2112704,Vargem Grande,848.4045458693,1735.9507109812,959.8137408273,1776.7340077703,
MA,2112803,Viana,1101.7378645218,2105.9301573618,1460.74036739,3254.1492706216,
MA,2112852,Vila Nova dos Martírios,,,,495.5043566528,
MA,2112902,Vitória do Mearim,1466.1406427487,2844.528050611,1736.324873298,2436.4105451365,
MA,2113009,Vitorino Freire,1131.2911148277,1641.6683389899,1659.7068736262,2262.8997940588,
MA,2114007,Zé Doca,,,2430.7716675448,3517.8970919862,
MG,3100104,Abadia dos Dourados,311.5718852363,901.7742791985,621.895265256,1179.8203813877,
MG,3100203,Abaeté,1136.87662791,2334.8508936299,2054.7352707036,5604.6252921795,
MG,3100302,Abre Campo,720.524421986,1417.0375111791,1005.935883563,2095.6714739204,
MG,3100401,Acaiaca,108.4086328716,255.1473975957,288.8853084978,524.6454861715,
MG,3100500,Açucena,882.7691275688,2434.0028175697,1466.1686121818,1027.5275951657,
MG,3100609,Água Boa,1137.0399696146,1266.6689747678,779.03631593,2195.2476965776,
MG,3100708,Água Comprida,157.7146312072,339.0133919004,198.2044426024,538.8647170873,
MG,3100807,Aguanil,74.4219600862,341.0274704517,245.0800505809,744.1712971774,
MG,3100906,Águas Formosas,678.3754965652,1513.8431716063,1459.6903684815,1998.1723775265,
MG,3101003,Águas Vermelhas,316.2923638475,1103.6994539339,1271.2624556867,1115.4306547183,
MG,3101102,Aimorés,1309.1180391184,3308.2066410842,2447.457721127,4436.375681374,
MG,3101201,Aiuruoca,422.5910858247,999.7664681048,665.4458576729,1428.1082343031,
MG,3101300,Alagoa,121.0825960224,267.0136680993,300.9177380253,396.9519344002,
MG,3101409,Albertina,104.8634413184,294.3430723817,310.3125021231,605.0214024389,
MG,3101508,Além Paraíba,2267.6680524342,5026.3773469152,4734.1528305667,9750.641473851,
MG,3101607,Alfenas,1880.6583956825,8488.5309727924,9722.9713728715,23552.7345892538,
MG,3101631,Alfredo Vasconcelos,,,,720.5791297923,
MG,3101706,Almenara,1794.0399328127,3553.6378749905,3837.1655625922,5674.9826200892,
MG,3101805,Alpercata,372.6858457326,410.2227986619,394.5327768154,1010.8585355309,
MG,3101904,Alpinópolis,916.3788579589,2896.8242418041,2501.9128865098,4047.5712451418,
MG,3102001,Alterosa,303.6928226568,1230.4423542904,916.1740071409,2457.2724357056,
MG,3102050,Alto Caparaó,,,,1358.3479271534,
MG,3102100,Alto Rio Doce,401.3373338468,1228.62093764,702.6869165737,1686.6364650975,
MG,3102209,Alvarenga,193.6652705236,439.0756209195,283.721759581,545.5692152616,
MG,3102308,Alvinópolis,794.2717518367,1506.7929557698,1442.646327362,2508.7025547839,
MG,3102407,Alvorada de Minas,117.7413399702,282.6523930384,192.0893061551,380.9352129356,
MG,3102506,Amparo do Serra,172.9208740388,328.4568638824,330.1510542796,637.0995711331,
MG,3102605,Andradas,1701.0008844774,4793.8462162339,5222.5163078646,11713.5647678865,
MG,3102704,Cachoeira de Pajeú,205.0846920615,467.8539323071,467.628480504,664.3403836372,
MG,3102803,Andrelândia,535.9782578704,2521.9452240624,1129.4702702141,2570.862640885,
MG,3102852,Angelândia,,,,1071.3624663098,
MG,3102902,Antônio Carlos,503.7448504824,990.7205886104,692.9501581458,1832.1543643069,
MG,3103009,Antônio Dias,492.7912910842,1151.0678017523,672.3603548969,1230.8311531246,
MG,3103108,Antônio Prado de Minas,91.9459153891,181.1732477508,127.0271425737,310.683225271,
MG,3103207,Araçaí,93.1347337126,221.6405806931,245.8250557637,337.1091847275,
MG,3103306,Aracitaba,86.84172875,278.4567096922,202.1943928411,295.2131644167,
MG,3103405,Araçuaí,940.2992357534,2475.8844680852,2183.589983103,4658.1843580329,
MG,3103504,Araguari,4984.8196142963,17750.0123518714,15299.1040071882,32361.2997992717,
MG,3103603,Arantina,95.3789907427,426.5788979489,185.6342407769,410.3854326378,
MG,3103702,Araponga,134.7134129457,317.000649592,382.3652780694,733.6548258306,
MG,3103751,Araporã,,,,1479.0905571633,
MG,3103801,Arapuá,235.79969816,417.733655662,287.191909884,760.8122934314,
MG,3103900,Araújos,180.4974161832,618.7625941174,550.1752479966,1298.3131427913,
MG,3104007,Araxá,3266.2667454661,13585.9741261453,11786.4611364989,26328.1456471309,
MG,3104106,Arceburgo,375.6501593895,1277.8480247514,834.0876959381,1805.9554899563,
MG,3104205,Arcos,934.792010707,3511.8356191002,3293.3922541662,8583.1124261554,
MG,3104304,Areado,525.823043135,1546.1562464097,1283.8329550605,3388.8938029925,
MG,3104403,Argirita,142.879531657,480.0882766517,199.6256424568,549.3202949136,
MG,3104452,Aricanduva,,,,321.445008722,
MG,3104502,Arinos,237.2523761601,1531.8631080307,1129.31014466,2086.3707307866,
MG,3104601,Astolfo Dutra,568.3382792424,1482.2308932663,1251.4353292941,2560.4764193127,
MG,3104700,Ataléia,866.4484883738,1209.4235681704,945.5006330868,1862.3556919907,
MG,3104809,Augusto de Lima,285.9504340685,637.8531034396,331.6053832306,707.808084606,
MG,3104908,Baependi,795.9071019206,1577.8252479977,1529.6425666433,3428.8583223905,
MG,3105004,Baldim,405.7610911366,823.7358145408,739.90328958,1284.8880596471,
MG,3105103,Bambuí,987.7340533782,3473.5939343594,2507.2093695626,5229.2949400518,
MG,3105202,Bandeira,205.6037127442,401.2489209523,234.3566939234,453.3794221317,
MG,3105301,Bandeira do Sul,214.7102544057,460.6979764506,465.7381677129,1148.285057818,
MG,3105400,Barão de Cocais,590.8040459988,2723.5592722304,2124.237395777,3994.5933543458,
MG,3105509,Barão de Monte Alto,317.4763495762,625.1107589479,373.3324394758,809.9672677484,
MG,3105608,Barbacena,5667.1501064547,15237.3040562209,14337.3523814218,31766.6657298122,
MG,3105707,Barra Longa,467.9623854653,809.0959295452,649.7926924219,861.9754144383,
MG,3105905,Barroso,793.7826932418,2231.876199135,1487.9379688315,3366.1002486802,
MG,3106002,Bela Vista de Minas,413.6459528299,1219.0732411013,672.8406124114,1542.1964706854,
MG,3106101,Belmiro Braga,206.9036807483,463.3038406734,383.2272397658,508.7647636575,
MG,3106200,Belo Horizonte,182452.681144054,615136.49076963,614272.123373559,1226408.07539233,
MG,3106309,Belo Oriente,265.86133744,1054.5774347662,1142.2265519903,2650.6078448021,
MG,3106408,Belo Vale,382.7028482564,705.0286628517,470.2976525127,1206.8785285628,
MG,3106507,Berilo,222.8783061549,907.1264716114,1171.1334574344,1184.0707244536,
MG,3106606,Bertópolis,322.1359374927,561.8083310158,523.314398052,359.0813372631,
MG,3106655,Berizal,,,,228.8791073114,
MG,3106705,Betim,2465.3811043714,13175.1266548734,20750.30984088,61574.4053537885,
MG,3106804,Bias Fortes,335.5106268911,439.89277621,311.591357674,439.742246824,
MG,3106903,Bicas,778.2082066856,2294.063249076,1844.3636479346,4219.8012038477,
MG,3107000,Biquinhas,243.5212181487,273.9736912831,244.6963046553,491.1904591297,
MG,3107109,Boa Esperança,1217.1006013261,5159.893612437,4826.1819942104,10202.3136758513,
MG,3107208,Bocaina de Minas,262.0010607051,557.8799996609,492.6400498764,1041.1460066491,
MG,3107307,Bocaiúva,1269.2684623086,4032.5820983915,3802.4224240678,6058.864728213,
MG,3107406,Bom Despacho,1724.0620269145,4710.9554943937,5165.4495684052,12073.6902633298,
MG,3107505,Bom Jardim de Minas,235.059344635,1811.4084470734,673.7307516679,1075.5506616611,
MG,3107604,Bom Jesus da Penha,90.8537489619,315.7427914044,325.1555000809,1266.6851201706,
MG,3107703,Bom Jesus do Amparo,175.3729326458,518.9531106292,372.3772380346,873.4761007745,
MG,3107802,Bom Jesus do Galho,637.3854273801,1529.714255759,898.0525682349,1743.9806162162,
MG,3107901,Bom Repouso,194.3592311384,794.5944922878,921.1620643268,2655.0911678405,
MG,3108008,Bom Sucesso,716.4621427881,2160.0193139711,1513.9167234451,3513.5278474008,
MG,3108107,Bonfim,280.6829057247,641.6080390836,516.3025176018,1054.6322965534,
MG,3108206,Bonfinópolis de Minas,372.5505330779,3659.7473130288,1432.3840321657,1007.2927077581,
MG,3108255,Bonito de Minas,,,,331.6535542487,
MG,3108305,Borda da Mata,540.3875173757,2498.0409451327,2081.5715571098,3961.3708199346,
MG,3108404,Botelhos,755.0455797575,1871.5436029644,1980.1898050356,5154.0554862947,
MG,3108503,Botumirim,121.4788687969,398.1346085315,442.9429261712,474.2796229285,
MG,3108552,Brasilândia de Minas,,,,2125.6835828167,
MG,3108602,Brasília de Minas,1138.3979287564,2852.7296677335,2237.6073579182,3523.3453097537,
MG,3108701,Brás Pires,118.7068924134,427.7094200615,254.8308136273,456.3995429155,
MG,3108800,Braúnas,342.0790897579,593.6472335174,399.2493976754,513.1996918412,
MG,3108909,Brasópolis,767.1425310878,1552.603788937,1192.2601035445,3509.5355389175,
MG,3109006,Brumadinho,935.8087886552,3011.2585557764,2396.9983924582,7198.1255134472,
MG,3109105,Bueno Brandão,509.2018165427,1275.1689042011,1232.6022714778,2611.1353722698,
MG,3109204,Buenópolis,376.7249284755,1135.181528673,625.4170088211,1631.8337154554,
MG,3109253,Bugre,,,,339.3792081881,
MG,3109303,Buritis,258.9362290761,1693.1534235802,1256.3777595447,4829.6270508647,
MG,3109402,Buritizeiro,490.728739619,1687.6403808826,1494.0631470023,2649.5801555262,
MG,3109451,Cabeceira Grande,,,,844.208800026,
MG,3109501,Cabo Verde,640.4463929332,2151.4556716952,1416.6388171837,4634.1480401049,
MG,3109600,Cachoeira da Prata,192.8910888349,707.7624904208,563.8684267508,774.8894041052,
MG,3109709,Cachoeira de Minas,306.4358034714,1019.8296063911,754.8414077919,2060.4031898911,
MG,3109808,Cachoeira Dourada,224.8461387618,430.5268539346,178.5156590405,563.2261244655,
MG,3109907,Caetanópolis,308.642366262,751.451757618,881.337578684,2001.5679023403,
MG,3110004,Caeté,1721.1982312296,4785.2999583342,3701.9814279339,9269.4406639675,
MG,3110103,Caiana,121.8306816991,1052.44085909,312.2492621223,881.4798232612,
MG,3110202,Cajuri,156.2261920054,373.9724314851,166.5027809923,589.1713541159,
MG,3110301,Caldas,774.1894208409,2089.815826358,1793.1620415067,3298.3489166475,
MG,3110400,Camacho,64.4213883848,287.1403400078,312.2691725902,416.1102468245,
MG,3110509,Camanducaia,640.9654136159,1889.8189732254,2302.9029542226,5239.0415880647,
MG,3110608,Cambuí,879.2954584188,2327.9178879174,3040.1203010086,5818.4034822231,
MG,3110707,Cambuquira,588.6989676993,2273.2663377777,1424.7569152362,3308.8974850585,
MG,3110806,Campanário,417.9285983513,633.7836808462,542.3070908054,466.2119949588,
MG,3110905,Campanha,663.3702896777,1840.8092356213,1563.343344157,3924.0111624914,
MG,3111002,Campestre,799.8079724519,2476.8105445574,1931.058380775,4704.032476501,
MG,3111101,Campina Verde,1404.1548821485,3476.9947753516,2473.0246986544,5008.1442132246,
MG,3111150,Campo Azul,,,,260.1432528958,
MG,3111200,Campo Belo,1835.843810964,6800.8150953277,5114.1155156881,11829.5966828346,
MG,3111309,Campo do Meio,362.1807511329,1116.0487233427,1248.4815466335,2240.2548477377,
MG,3111408,Campo Florido,256.9944924812,1045.2541669395,854.5986836469,1164.8342664458,
MG,3111507,Campos Altos,551.5034519595,1924.915922887,1538.313668231,3155.3417648843,
MG,3111606,Campos Gerais,942.326992536,2465.8226779067,2491.7677742799,5473.6360411388,
MG,3111705,Canaã,141.4123558724,313.9166702193,208.9046845492,554.3868855096,
MG,3111804,Canápolis,520.4279342882,913.0440594959,1824.2345622792,2036.8448734281,
MG,3111903,Cana Verde,157.3821486842,711.2913395643,465.3585667714,1075.6166056111,
MG,3112000,Candeias,453.1959087615,1162.1611843976,1120.4536081644,3022.0444979784,
MG,3112059,Cantagalo,,,,361.876087677,
MG,3112109,Caparaó,265.0137003102,548.4970514501,772.4541828777,892.2134053798,
MG,3112208,Capela Nova,158.126368285,519.645931786,362.8688073142,560.8903872998,
MG,3112307,Capelinha,353.5594019904,1945.3452532003,2093.3587264756,4456.0483724813,
MG,3112406,Capetinga,369.1928462034,1032.6737480547,873.8579077236,1712.0714045726,
MG,3112505,Capim Branco,183.6415023671,607.9775601238,659.9738157232,1331.4999630463,
MG,3112604,Capinópolis,734.6684604783,2015.9739859534,2128.9900849812,3384.602469017,
MG,3112653,Capitão Andrade,,,,450.0735664147,
MG,3112703,Capitão Enéas,463.9667960758,652.8052799351,770.9291662389,1315.7993136303,
MG,3112802,Capitólio,199.5716679014,661.2355374484,907.4480099373,1912.8297489795,
MG,3112901,Caputira,209.6128333992,544.5223468237,386.7293807695,1541.0158746763,
MG,3113008,Caraí,677.4592365891,960.6883170784,936.1398927666,1744.6679895133,
MG,3113107,Caranaíba,127.4306925658,266.1910913925,158.2333707495,374.7817130276,
MG,3113206,Carandaí,665.0375348874,2647.4669616027,1652.6308729197,3306.1929044004,
MG,3113305,Carangola,2479.0360842688,5110.9067254305,4003.6211497843,10060.4036976176,
MG,3113404,Caratinga,4266.370308522,11612.0692104124,10549.3347575355,18582.5421202347,
MG,3113503,Carbonita,90.0631364508,618.0558385766,437.5761281219,936.1520303575,
MG,3113602,Careaçu,188.3764787627,598.164124577,575.7313793025,1301.5358931268,
MG,3113701,Carlos Chagas,1587.122720799,3496.2235531916,2030.8915611321,3559.8457618684,
MG,3113800,Carmésia,133.5168624705,214.4641041039,136.1256695464,274.6917323522,
MG,3113909,Carmo da Cachoeira,282.7058299125,1114.3353765773,1060.8026416716,2343.295786986,
MG,3114006,Carmo da Mata,460.9125961553,1139.3368874353,931.4413287371,2424.8986885705,
MG,3114105,Carmo de Minas,521.2852366076,1148.4285129299,1191.4701864406,2446.3914590777,
MG,3114204,Carmo do Cajuru,501.6426717397,1376.1189909479,1325.2931465265,3252.3734681795,
MG,3114303,Carmo do Paranaíba,1410.7803696341,3781.8700465857,3519.5148454531,8147.5703084703,
MG,3114402,Carmo do Rio Claro,611.8287329827,2773.9410762048,1656.9918647272,8327.9169124222,
MG,3114501,Carmópolis de Minas,346.1664984489,1115.4418383548,1066.9756803026,2987.9235997485,
MG,3114550,Carneirinho,,,,2232.3922457529,
MG,3114600,Carrancas,202.9767142051,899.7672798519,411.245489123,694.0369887186,
MG,3114709,Carvalhópolis,76.3124711762,344.0712596559,211.8457045923,466.5497188034,
MG,3114808,Carvalhos,277.4286363791,609.3189350052,362.7169545085,650.488908087,
MG,3114907,Casa Grande,60.864598604,278.4047805892,98.8060609186,348.6601233906,
MG,3115003,Cascalho Rico,125.1323104738,375.2626837551,315.957609559,571.8687684072,
MG,3115102,Cássia,1020.1723627862,2814.130124713,2421.3498727671,4448.6540056037,
MG,3115201,Conceição da Barra de Minas,99.2498991862,313.1938744551,183.9020132861,490.8783062784,
MG,3115300,Cataguases,2987.17762951,8097.0069973276,7493.4470911213,16072.5427499523,
MG,3115359,Catas Altas,,,,635.9649059316,
MG,3115409,Catas Altas da Noruega,51.6933001721,166.340566439,133.5522039897,290.2786991965,
MG,3115458,Catuji,,,,662.8725840767,
MG,3115474,Catuti,,,,327.2290490246,
MG,3115508,Caxambu,1195.5849227095,2828.3479457302,2588.920076676,5796.3350398996,
MG,3115607,Cedro do Abaeté,81.8051984382,116.2703370831,100.5254442618,171.4499558308,
MG,3115706,Central de Minas,320.6513643669,728.8433764,449.7401432615,928.8366820738,
MG,3115805,Centralina,441.5899490639,1681.2313259303,1451.508653893,3333.5129618933,
MG,3115904,Chácara,238.4353953698,329.5228218556,369.886907481,416.132586885,
MG,3116001,Chalé,147.4492333101,347.0023640505,360.6125270766,826.1935179554,
MG,3116100,Chapada do Norte,198.355787047,1101.7174558294,862.4400935752,1357.449383146,
MG,3116159,Chapada Gaúcha,,,,919.5253197781,
MG,3116209,Chiador,220.2252116037,342.7367847588,188.7604553549,519.1206000787,
MG,3116308,Cipotânea,181.9336633609,528.5467323885,225.0077448515,493.30384086,
MG,3116407,Claraval,155.1852510832,449.7882050774,410.1177892851,739.0136935022,
MG,3116506,Claro dos Poções,239.7923879926,529.3666655948,395.6232700289,842.7716302568,
MG,3116605,Cláudio,599.0329884427,2039.6209044276,1855.2070801789,4520.5767011176,
MG,3116704,Coimbra,317.5343407139,447.7301727296,408.7455925702,1115.0610619323,
MG,3116803,Coluna,203.9567644327,572.4373536747,570.9777784718,1064.7663211449,
MG,3116902,Comendador Gomes,146.4372879567,823.1681788145,492.9298111291,1098.6729111222,
MG,3117009,Comercinho,292.9238683804,385.9258927002,367.5776899234,584.0893819768,
MG,3117108,Conceição da Aparecida,308.6085380984,1306.5900888185,884.1386321357,2842.0544380733,
MG,3117207,Conceição das Pedras,78.0106449927,221.9279157561,295.5627750342,434.9148657303,
MG,3117306,Conceição das Alagoas,681.8414335635,2300.5785817094,2266.5302091494,4817.162529449,
MG,3117405,Conceição de Ipanema,175.1032738554,399.341523328,400.4770047629,760.1358795124,
MG,3117504,Conceição do Mato Dentro,721.4841753154,1523.9017806232,1148.4284473008,2116.6241350236,
MG,3117603,Conceição do Pará,201.1113326081,292.1303728521,390.5465573234,678.9504188922,
MG,3117702,Conceição do Rio Verde,506.7091641393,1148.64720659,989.8656098386,2972.3116656684,
MG,3117801,Conceição dos Ouros,240.4592860765,767.9362683022,708.4641532274,1840.1492906227,
MG,3117836,Cônego Marinho,,,,303.8514561275,
MG,3117876,Confins,,,,848.2315813848,
MG,3117900,Congonhal,198.3084276178,591.2765064239,946.5461092982,1657.3470608846,
MG,3118007,Congonhas,1271.1860359295,6635.9262139097,4889.1875319175,9027.406738674,
MG,3118106,Congonhas do Norte,83.7392028814,216.1814385227,238.7702056746,534.7235524578,
MG,3118205,Conquista,473.7779300606,1288.2509609099,696.4277402884,1723.929145957,
MG,3118304,Conselheiro Lafaiete,3950.4268580199,15889.3687527698,12337.5029410912,26159.4906987011,
MG,3118403,Conselheiro Pena,1629.545171086,3508.7290579605,2444.5380392085,4536.1291942124,
MG,3118502,Consolação,99.2663300085,127.0008880833,117.4866634696,215.0008651712,
MG,3118601,Contagem,8423.068743889,52465.8037859429,70342.2736528246,149080.654467284,
MG,3118700,Coqueiral,304.5858861779,977.9259565748,892.4102863264,1837.6659743296,
MG,3118809,Coração de Jesus,718.6310113392,2269.0377674931,1565.7959934398,2959.737887693,
MG,3118908,Cordisburgo,380.5001515417,1075.5396320535,667.6842149584,1549.4049801461,
MG,3119005,Cordislândia,168.5686391522,420.4927084986,305.4670785082,537.7770251414,
MG,3119104,Corinto,1579.051320946,3864.5923460805,2751.1155871905,4647.8018657089,
MG,3119203,Coroaci,388.0602628637,841.4411296005,504.175452131,1522.3341716103,
MG,3119302,Coromandel,941.7867084362,3285.3432292755,3189.5449235774,6769.6803875377,
MG,3119401,Coronel Fabriciano,3254.9449423434,15605.0801673365,12577.6331792646,24912.273579756,
MG,3119500,Coronel Murta,420.7875614413,555.0259600267,429.8337096943,847.0276599644,
